Model,Accuracy
Logistic Regression,0.7743682310469314
KNN,0.9909747292418772
SVM,0.8736462093862816
Decision Tree,0.983754512635379
Random Forest,0.9819494584837545
AdaBoost,0.8140794223826715
LightGBM,0.9819494584837545
